id,value
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.001715102627906977_to_0.0025353175339551315#diversity_1.6964727331382239_to_2.0198865661764476#betweennes_0.005850023_to_0.009242797,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.3789881294499116_to_1.6858633229907323,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.3789881294499116_to_1.6858633229907323#betweennes_5.903333333333334e-05_to_9.010940487112946e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.3789881294499116_to_1.6858633229907323#betweennes_-3.118809742258908e-06_to_2.7957261795537217e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.4583625488274493_to_0.7652377423682701,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.4583625488274493_to_0.7652377423682701#betweennes_6.42993232687621e-06_to_1.459829949677144e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.4583625488274493_to_0.7652377423682701#betweennes_3.0935033836561904e-05_to_3.9103401006457134e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.4583625488274493_to_0.7652377423682701#betweennes_2.276666666666667e-05_to_3.0935033836561904e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.7652377423682701_to_1.0721129359090908,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.7652377423682701_to_1.0721129359090908#betweennes_0.00010540399999999998_to_0.00019896299999999997,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_0.7652377423682701_to_1.0721129359090908#betweennes_0.000292522_to_0.0003860809999999999,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.0721129359090908_to_1.3789881294499116,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.0721129359090908_to_1.3789881294499116#betweennes_8.139976526985643e-05_to_8.376666666666667e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_7.46728158106686e-05_to_0.0008948877218588229#diversity_1.0721129359090908_to_1.3789881294499116#betweennes_8.61335680634769e-05_to_8.850046946028713e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.3550984861111113_to_1.6874736262541008,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.3550984861111113_to_1.6874736262541008#betweennes_0.0032211966666666667_to_0.005383669122690147,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.3550984861111113_to_1.6874736262541008#betweennes_0.005383669122690147_to_0.007546141578713627,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.3550984861111113_to_1.6874736262541008#betweennes_-0.0011037482453802937_to_0.0010587242106431865,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.0227233459681218_to_1.3550984861111113,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.0227233459681218_to_1.3550984861111113#betweennes_0.0008841152130126258_to_0.0012417211760252516,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_1.0227233459681218_to_1.3550984861111113#betweennes_0.00016890328698737416_to_0.00052650925,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_0.6903482058251322_to_1.0227233459681218,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_0.6903482058251322_to_1.0227233459681218#betweenness_=_0.000992876,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_2.0198487663970903_to_2.35222390654008,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0025353175339551315_to_0.0033555324400032856#diversity_2.0198487663970903_to_2.35222390654008#betweenness_=_0.007841725,1
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0033555324400032856_to_0.00417574734605144,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0033555324400032856_to_0.00417574734605144#diversity_=_1.641734712,
root#degree_7.092964824120603_to_19.76961216055113#peel_7.4_to_9.295744221630692#pagerank_label_0.0033555324400032856_to_0.00417574734605144#diversity_=_1.641734712#betweenness_=_0.000213484,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0005314559377043871_to_0.0010553001355188604,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0005314559377043871_to_0.0010553001355188604#diversity_=_0.898137003,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0005314559377043871_to_0.0010553001355188604#diversity_=_0.898137003#betweenness_=_4.28e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336#diversity_0.8251785363333334_to_0.9284057147093429,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336#diversity_0.8251785363333334_to_0.9284057147093429#betweennes_4.28e-05_to_6.62e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336#diversity_0.8251785363333334_to_0.9284057147093429#betweennes_6.62e-05_to_8.96e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336#diversity_0.6187241795813145_to_0.7219513579573239,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0010553001355188604_to_0.0015791443333333336#diversity_0.6187241795813145_to_0.7219513579573239#betweenness_=_0.0,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.002102988531147807_to_0.0026268327289622802,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.002102988531147807_to_0.0026268327289622802#diversity_=_1.203332041,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.002102988531147807_to_0.0026268327289622802#diversity_=_1.203332041#betweenness_=_0.008811733,1
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0015791443333333336_to_0.002102988531147807,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0015791443333333336_to_0.002102988531147807#diversity_=_0.690185676,
root#degree_7.092964824120603_to_19.76961216055113#peel_11.191488443261383_to_13.087232664892074#pagerank_label_0.0015791443333333336_to_0.002102988531147807#diversity_=_0.690185676#betweenness_=_4.65e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_1.7127673351079276_to_3.6085115567386183,
root#degree_7.092964824120603_to_19.76961216055113#peel_1.7127673351079276_to_3.6085115567386183#pagerank_label_=_0.00145556,
root#degree_7.092964824120603_to_19.76961216055113#peel_1.7127673351079276_to_3.6085115567386183#pagerank_label_=_0.00145556#diversity_=_1.255482325,
root#degree_7.092964824120603_to_19.76961216055113#peel_1.7127673351079276_to_3.6085115567386183#pagerank_label_=_0.00145556#diversity_=_1.255482325#betweenness_=_0.003753628,1
root#degree_-5.583682512309924_to_7.092964824120603,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.89980269125_to_1.3344022616656581,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.89980269125_to_1.3344022616656581#betweennes_-3.1990202032869374e-06_to_1.6575e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.89980269125_to_1.3344022616656581#betweennes_1.6575e-05_to_3.6349020203286933e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.89980269125_to_1.3344022616656581#betweennes_3.6349020203286933e-05_to_5.612304040657387e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.4652031208343419_to_0.89980269125,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.4652031208343419_to_0.89980269125#betweennes_-3.057864295058877e-06_to_1.6595e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_0.4652031208343419_to_0.89980269125#betweennes_3.6247864295058876e-05_to_5.590072859011775e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_1.3344022616656581_to_1.7690018320813161,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_1.3344022616656581_to_1.7690018320813161#betweennes_9.496851985989286e-05_to_0.00014212037305311905,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_1.3344022616656581_to_1.7690018320813161#betweennes_6.648134734404699e-07_to_4.7816666666666666e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_1.3344022616656581_to_1.7690018320813161#betweennes_-4.6487039719785726e-05_to_6.648134734404699e-07,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_-0.4039960199969742_to_0.03060355041868379,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00013779399662708412_to_0.00042105323431354205#diversity_-0.4039960199969742_to_0.03060355041868379#betweenness_=_0.0,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.1149967898461537_to_1.5321604921426208,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.1149967898461537_to_1.5321604921426208#betweennes_-0.00020987607126576554_to_0.0009998867777777777,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.1149967898461537_to_1.5321604921426208#betweennes_0.0022096496268213207_to_0.003419412475864864,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.1149967898461537_to_1.5321604921426208#betweennes_0.0009998867777777777_to_0.0022096496268213207,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.6978330875496865_to_1.1149967898461537,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.6978330875496865_to_1.1149967898461537#betweennes_-0.0004435339157082372_to_0.0005508638,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.6978330875496865_to_1.1149967898461537#betweennes_0.0015452615157082372_to_0.002539659231416474,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.6978330875496865_to_1.1149967898461537#betweennes_0.002539659231416474_to_0.003534056947124712,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.2806693852532195_to_0.6978330875496865,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.2806693852532195_to_0.6978330875496865#betweennes_2.8427315331670593e-07_to_5.113333333333333e-06,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_0.2806693852532195_to_0.6978330875496865#betweennes_9.942393513349961e-06_to_1.4771453693366589e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.5321604921426208_to_1.9493241944390878,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.5321604921426208_to_1.9493241944390878#betweennes_0.0016246831999999999_to_0.002789085635958187,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_1.5321604921426208_to_1.9493241944390878#betweennes_-0.0007041216719163741_to_0.00046028076404181287,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_-0.13649431704324755_to_0.2806693852532195,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_-0.13649431704324755_to_0.2806693852532195#betweennes_3.2949155443796754e-06_to_5.00583108875935e-06,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.000704312472_to_0.0009875717096864578#diversity_-0.13649431704324755_to_0.2806693852532195#betweennes_-1.2691554437967496e-07_to_1.5840000000000002e-06,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.1098769605737706_to_1.474365869138706,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.1098769605737706_to_1.474365869138706#betweennes_-0.00034200726646830035_to_0.00041142952631578956,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.1098769605737706_to_1.474365869138706#betweennes_0.00041142952631578956_to_0.0011648663190998794,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.1098769605737706_to_1.474365869138706#betweennes_0.0019183031118839694_to_0.0026717399046680594,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.3808991434438995_to_0.7453880520088351,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.3808991434438995_to_0.7453880520088351#betweennes_-4.905567938252968e-05_to_9.527454545454546e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.3808991434438995_to_0.7453880520088351#betweennes_0.00038393499512869576_to_0.0005282652199657708,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.3808991434438995_to_0.7453880520088351#betweennes_0.00023960477029162061_to_0.00038393499512869576,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.3808991434438995_to_0.7453880520088351#betweennes_9.527454545454546e-05_to_0.00023960477029162061,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.474365869138706_to_1.8388547777036417,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.474365869138706_to_1.8388547777036417#betweennes_0.0006575249880395257_to_0.0010198801760790514,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.474365869138706_to_1.8388547777036417#betweennes_-6.718538803952568e-05_to_0.0002951698,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_1.474365869138706_to_1.8388547777036417#betweennes_0.0002951698_to_0.0006575249880395257,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.7453880520088351_to_1.1098769605737706,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.7453880520088351_to_1.1098769605737706#betweennes_-1.7898672859964893e-05_to_2.03929e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.7453880520088351_to_1.1098769605737706#betweennes_9.697604571992978e-05_to_0.00013526761857989467,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.7453880520088351_to_1.1098769605737706#betweennes_0.00013526761857989467_to_0.00017355919143985957,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_0.7453880520088351_to_1.1098769605737706#betweennes_2.03929e-05_to_5.868447285996489e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_-0.34807867368597156_to_0.01641023487896387,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.00042105323431354205_to_0.000704312472#diversity_-0.34807867368597156_to_0.01641023487896387#betweenness_=_1.85e-06,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.6874110104563691_to_1.1080132507777778,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.6874110104563691_to_1.1080132507777778#betweennes_0.000293927_to_0.000583944,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.6874110104563691_to_1.1080132507777778#betweennes_3.909999999999981e-06_to_0.000293927,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.2668087701349604_to_0.6874110104563691,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.2668087701349604_to_0.6874110104563691#betweennes_1.6899999999999814e-05_to_0.0026119535,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_0.2668087701349604_to_0.6874110104563691#betweennes_0.0026119535_to_0.005207007,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.1080132507777778_to_1.5286154910991865,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.1080132507777778_to_1.5286154910991865#betweennes_0.002500956981171959_to_0.0038771106290105845,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.1080132507777778_to_1.5286154910991865#betweennes_-0.00025135031450529226_to_0.0011248033333333333,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.5286154910991865_to_1.9492177314205952,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.5286154910991865_to_1.9492177314205952#betweennes_0.0012096285_to_0.0024097170000000005,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0009875717096864578_to_0.001270830947372916#diversity_1.5286154910991865_to_1.9492177314205952#betweennes_9.53999999999994e-06_to_0.0012096285,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738#diversity_1.4800659346666665_to_1.5865108245757964,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738#diversity_1.4800659346666665_to_1.5865108245757964#betweennes_1.1099999999999999e-05_to_0.0025343825,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738#diversity_1.4800659346666665_to_1.5865108245757964#betweennes_0.0025343825_to_0.005057665,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738#diversity_1.2671761548484066_to_1.3736210447575365,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.001270830947372916_to_0.0015540901850593738#diversity_1.2671761548484066_to_1.3736210447575365#betweenness_=_2.49e-05,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0024038678981187474_to_0.0026871271358052057,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0024038678981187474_to_0.0026871271358052057#diversity_=_0.682908105,
root#degree_-5.583682512309924_to_7.092964824120603#peel_3.8451164283373034_to_5.254377593516713#pagerank_label_0.0024038678981187474_to_0.0026871271358052057#diversity_=_0.682908105#betweenness_=_0.010041506,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858,
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858#pagerank_label_0.00015764993618647927_to_0.0003224943578431372,
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858#pagerank_label_0.00015764993618647927_to_0.0003224943578431372#diversity_=_0.0,
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858#pagerank_label_0.00015764993618647927_to_0.0003224943578431372#diversity_=_0.0#betweenness_=_0.0,1
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858#pagerank_label_0.00048733877949979514_to_0.0006521832011564531,
root#degree_-5.583682512309924_to_7.092964824120603#peel_-0.38266706720092314_to_1.0265940979784858#pagerank_label_0.00048733877949979514_to_0.0006521832011564531#diversity_0.6692712537880244_to_1.0150738231093823,
