id,value
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.3308701071728573_to_1.4925737631818186#betweennes_-0.00048753421149635816_to_0.002577839666666667,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.4925737631818186_to_1.6542774191907799,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.4925737631818186_to_1.6542774191907799#betweennes_-0.0002553289277094574_to_0.0026914858,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.4925737631818186_to_1.6542774191907799#betweennes_0.005638300527709457_to_0.008585115255418914,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.0074627951549346_to_1.169166451163896,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.0074627951549346_to_1.169166451163896#betweenness_=_0.005877204,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.6542774191907799_to_1.8159810751997412,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.6542774191907799_to_1.8159810751997412#betweennes_0.002560759_to_0.0026186445,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0005200503261148634_to_0.0016586302#diversity_1.6542774191907799_to_1.8159810751997412#betweennes_0.0026186445_to_0.00267653,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.003935789947770273_to_0.005074369821655409,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.003935789947770273_to_0.005074369821655409#diversity_1.748970751_to_1.776671185,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.003935789947770273_to_0.005074369821655409#diversity_1.748970751_to_1.776671185#betweenness_=_0.012935047,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.003935789947770273_to_0.005074369821655409#diversity_1.776671185_to_1.804371619,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.003935789947770273_to_0.005074369821655409#diversity_1.776671185_to_1.804371619#betweenness_=_0.008004883,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0016586302_to_0.0027972100738851364,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0016586302_to_0.0027972100738851364#diversity_0.900256051_to_1.1016742275,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0016586302_to_0.0027972100738851364#diversity_0.900256051_to_1.1016742275#betweenness_=_0.014199147,1
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0016586302_to_0.0027972100738851364#diversity_1.1016742275_to_1.303092404,
root#degree_7.092964824120603_to_19.76961216055113#peel_3.6085115567386183_to_5.504255778369309#pagerank_label_0.0016586302_to_0.0027972100738851364#diversity_1.1016742275_to_1.303092404#betweenness_=_0.00265698,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.7870265530037033_to_1.9505321471074069,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.7870265530037033_to_1.9505321471074069#betweennes_0.005363554985645535_to_0.007174927304624405,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.7870265530037033_to_1.9505321471074069#betweennes_-7.056197129107341e-05_to_0.0017408103476877963,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.7870265530037033_to_1.9505321471074069#betweennes_0.0017408103476877963_to_0.003552182666666666,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.4600153647962966_to_1.6235209589,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.4600153647962966_to_1.6235209589#betweennes_4.069885505378649e-07_to_0.0002841143692752689,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.4600153647962966_to_1.6235209589#betweennes_0.00056782175_to_0.000851529130724731,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.4600153647962966_to_1.6235209589#betweennes_0.0002841143692752689_to_0.00056782175,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.6235209589_to_1.7870265530037033,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.6235209589_to_1.7870265530037033#betweennes_0.000285338_to_0.001837925,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.6235209589_to_1.7870265530037033#betweennes_0.001837925_to_0.003390512,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.1330041765888894_to_1.296509770692593,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.001487614865384616_to_0.0022423874460467297#diversity_1.1330041765888894_to_1.296509770692593#betweenness_=_8.27e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.503628824857143_to_1.8108754287128623,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.503628824857143_to_1.8108754287128623#betweennes_0.0007796887777777779_to_0.0012966598873530677,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.503628824857143_to_1.8108754287128623#betweennes_0.0012966598873530677_to_0.0018136309969283572,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.503628824857143_to_1.8108754287128623#betweennes_0.0002627176682024882_to_0.0007796887777777779,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.503628824857143_to_1.8108754287128623#betweennes_-0.00025425344137280145_to_0.0002627176682024882,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.1963822210014237_to_1.503628824857143,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.1963822210014237_to_1.503628824857143#betweennes_-0.00013607237557791859_to_0.0008106561000000001,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.1963822210014237_to_1.503628824857143#betweennes_0.001757384575577919_to_0.0027041130511558376,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_0.5818890132899848_to_0.8891356171457042,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_0.5818890132899848_to_0.8891356171457042#betweenness_=_0.000468306,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_0.8891356171457042_to_1.1963822210014237,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_0.8891356171457042_to_1.1963822210014237#betweennes_0.0004490569409250383_to_0.0006998362151834098,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_0.8891356171457042_to_1.1963822210014237#betweennes_-5.2501607591704885e-05_to_0.00019827766666666668,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.8108754287128623_to_2.1181220325685817,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.8108754287128623_to_2.1181220325685817#betweennes_-0.00010245714181291474_to_0.0017071712000000002,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.8108754287128623_to_2.1181220325685817#betweennes_0.003516799541812915_to_0.00532642788362583,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.000732842284722502_to_0.001487614865384616#diversity_1.8108754287128623_to_2.1181220325685817#betweennes_0.0017071712000000002_to_0.003516799541812915,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_0.923792311134086_to_1.1852809354227238,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_0.923792311134086_to_1.1852809354227238#betweenness_=_0.009545732,1
